"","Barrier","Solution","For high-intensity activities (e.g. running)","If activity was planned alone","If activity was planned outside","If activity was planned with other people","For low-intensity activities (e.g. walking)","If material is required","Other Context","Other Activity","Implementation","Other Profile","No Condition"
"291","FeelingIll","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",0,0,0,0,1,1,0,0,0,2,0
"292","FeelingIll","Divide the activity into shorter parts",5,6,0,1,3,1,0,0,0,1,0
"293","FeelingIll","Do the activity alone",1,4,1,4,2,0,0,0,0,0,0
"294","FeelingIll","Find social support in a pet",0,1,1,0,0,0,0,0,0,0,0
"295","FeelingIll","Find someone to help me with those practical barriers",1,1,0,3,0,0,0,0,2,0,1
"296","FeelingIll","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",0,3,1,2,0,0,2,0,0,0,0
"297","FeelingIll","Keep my goal in mind",2,2,0,0,1,0,0,0,0,2,0
"298","FeelingIll","Keep track of my activity",0,0,0,2,1,0,0,0,0,0,0
"299","FeelingIll","Learn about health benefits of doing the behaviour",1,1,0,0,4,1,0,0,0,0,0
"300","FeelingIll","Learn about the consequences this will have on my health",4,1,1,1,2,2,0,0,0,0,0
"301","FeelingIll","Learn about the consequences this will have on my mental health",2,3,1,2,2,2,0,0,0,0,0
"302","FeelingIll","Learn about the risks of not doing the behaviour",3,3,2,0,0,0,0,0,0,0,1
"303","FeelingIll","Look up inspirational content, such as videos or posts, online",0,1,1,0,1,1,0,0,0,1,0
"304","FeelingIll","Make a commitment to myself to do this no matter what comes in my way!",1,0,0,0,3,0,1,0,0,0,0
"305","FeelingIll","Make a commitment to myself to really do this!",0,1,1,0,0,0,0,0,0,1,0
"306","FeelingIll","Make my goal public",0,1,1,0,1,0,0,0,0,1,0
"307","FeelingIll","Make sure to be visible",0,2,5,1,0,0,0,0,0,0,1
"308","FeelingIll","Make sure to eat well before and after, and time your meals appropriately",0,0,0,0,1,0,0,0,0,0,0
"309","FeelingIll","Make sure to get enough sleep before the activity",1,0,0,0,0,1,0,0,0,1,0
"310","FeelingIll","Make sure to warm up sufficiently before the activity",1,1,2,1,0,0,0,0,0,0,0
"311","FeelingIll","Plan how to get there",1,0,2,0,0,1,0,0,0,0,0
"312","FeelingIll","Provide a positive consequence or reward for doing the activity",2,0,1,0,1,0,0,0,0,0,0
"313","FeelingIll","Put on music or a podcast",2,3,3,0,3,1,0,0,0,0,0
"314","FeelingIll","Put the material I will need within my sight as a visible reminder",0,1,0,0,0,7,0,0,0,0,0
"315","FeelingIll","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",4,2,2,2,2,4,0,0,0,0,0
"316","FeelingIll","Remind myself of the positive effects doing this will have on my mental health",0,1,1,1,3,0,0,0,0,0,0
"317","FeelingIll","Remind myself of the positive effects doing this will have on my physical health",4,3,3,3,5,2,0,0,0,0,0
"318","FeelingIll","Remind myself of the positive effects this will have on me",3,2,1,0,2,2,0,0,0,0,0
"319","FeelingIll","Remind myself of the positive social effects doing this will have",3,2,3,7,3,1,0,0,0,0,0
"320","FeelingIll","Set my material or equipment ready to use",0,0,0,0,0,6,0,0,0,0,0
"321","FeelingIll","Set suitable clothing ready to use",1,0,1,1,1,1,0,0,0,0,0
"322","FeelingIll","Shorten the duration of the activity",7,3,3,1,5,1,0,0,0,0,0
"323","FeelingIll","Take a different path",3,3,1,1,2,1,1,0,0,1,0
"324","FeelingIll","Take breaks whenever needed",4,1,0,1,2,2,0,0,0,1,0
"325","FeelingIll","Take medication to help with the symptoms",2,0,0,1,2,0,0,0,0,0,0
"326","FeelingIll","Take pictures during the activity",1,1,2,1,1,1,0,0,0,0,0
"327","FeelingIll","Tell myself that you can do this, and think about why",3,3,2,2,3,0,0,0,0,1,0
"328","FeelingIll","Think about how I will feel tonight if I haven't managed to do this",2,3,1,1,2,0,0,0,0,0,0
"329","FeelingIll","Think about situations where I achieved similar goals",1,2,1,0,0,0,0,0,0,0,0
"330","FeelingIll","Use positive selftalk",3,2,2,1,3,1,0,0,0,0,0
"331","FeelingIll","Watch something during the activity",0,2,0,2,0,1,0,0,1,0,0
"332","FeelingNervous","Ask other people if they want to join",1,8,2,4,2,1,0,0,0,0,0
"333","FeelingNervous","Change the intensity of the activity",7,3,1,1,2,0,0,0,0,1,0
"334","FeelingNervous","Do it at a different time today",3,8,3,1,2,1,0,0,0,0,1
"335","FeelingNervous","Do the activity alone",3,6,3,7,2,2,0,0,0,0,0
"336","FeelingNervous","Find social support in a pet",1,4,3,0,2,0,0,0,0,0,0
"337","FeelingNervous","Keep my goal in mind",2,5,1,1,2,1,0,0,0,0,0
"338","FeelingNervous","Set my material or equipment ready to use",3,2,3,2,1,8,0,0,0,0,0
"339","FeelingNervous","Set suitable clothing ready to use",2,3,5,3,2,6,0,0,0,0,0
"340","FeelingNervous","Take pictures during the activity",2,2,3,0,2,1,0,0,0,0,1
"341","FeelingNervous","Watch something during the activity",1,3,3,0,1,0,0,0,0,0,0
"342","FeelingTired","Change the intensity of the activity",6,5,2,2,4,4,0,0,0,0,0
"343","FeelingTired","Change what I am going to do",7,4,4,2,4,3,1,0,0,0,0
"344","FeelingTired","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",1,1,1,1,1,0,0,0,0,0,0
"345","FeelingTired","Learn about the consequences this will have on my health",3,3,2,2,3,2,0,0,1,0,0
"346","FeelingTired","Make a commitment to myself to really do this!",1,4,0,1,2,1,0,0,1,0,0
"347","FeelingTired","Make sure to get enough sleep before the activity",4,3,2,3,2,2,0,0,0,0,0
"348","FeelingTired","Make sure to warm up sufficiently before the activity",1,1,2,2,1,1,0,1,0,0,1
"349","FeelingTired","Plan when I have to leave to have enough time",1,1,3,2,1,0,0,0,0,0,0
"350","FeelingTired","Set suitable clothing ready to use",2,2,3,3,3,1,0,0,0,0,0
"351","FeelingTired","Take breaks whenever needed",4,2,2,3,2,2,0,0,0,0,0
"352","FeelingWeak","Adjust the intensity of the activity according to your needs",7,1,0,0,1,0,0,0,0,0,0
"353","FeelingWeak","Ask other people if they want to join",1,4,5,4,1,2,0,0,0,0,1
"354","FeelingWeak","Ask someone to remind you of your activity",0,2,0,5,0,0,0,0,0,0,0
"355","FeelingWeak","Call someone while doing the activity",2,6,1,2,1,0,0,0,0,1,0
"356","FeelingWeak","Change the intensity of the activity",7,2,0,0,3,0,0,0,0,0,0
"357","FeelingWeak","Change what I am going to do",4,3,1,0,1,0,0,0,0,0,0
"358","FeelingWeak","Check the weather in advance",1,0,7,2,1,0,0,0,0,0,0
"359","FeelingWeak","Combine being active with something else I want to do",2,4,0,0,1,1,0,0,0,0,0
"360","FeelingWeak","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",1,2,0,0,0,0,0,0,0,0,0
"361","FeelingWeak","Divide the activity into shorter parts",1,3,2,0,0,1,0,0,0,0,0
"362","FeelingWeak","Do it at a different time today",1,4,2,1,1,0,0,0,0,0,0
"363","FeelingWeak","Do it indoors instead",0,2,6,0,1,2,0,1,0,0,0
"364","FeelingWeak","Do the activity alone",0,4,4,4,1,2,0,0,0,0,1
"365","FeelingWeak","Find social support in a pet",0,1,4,0,0,0,0,0,1,0,0
"366","FeelingWeak","Find someone to help me with those practical barriers",0,3,1,2,0,0,0,0,0,0,0
"367","FeelingWeak","Find someone to provide you with instructions for the behaviour online, for example in a video or text",1,1,2,2,1,2,0,0,0,0,0
"368","FeelingWeak","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",2,3,1,2,1,0,0,0,0,0,0
"369","FeelingWeak","Keep my goal in mind",2,2,1,0,0,0,0,0,0,1,0
"370","FeelingWeak","Keep track of my activity using a device, such as a fitness tracker",1,1,0,0,1,1,0,0,1,0,0
"371","FeelingWeak","Learn about health benefits of doing the behaviour",3,3,1,1,2,2,0,0,0,0,0
"372","FeelingWeak","Learn about the consequences this will have on my health",0,1,1,0,0,0,0,0,0,0,0
"373","FeelingWeak","Learn about the risks of not doing the behaviour",0,1,1,2,0,0,0,0,0,1,1
"374","FeelingWeak","Look up inspirational content, such as videos or posts, online",3,2,1,1,1,2,0,0,0,0,0
"375","FeelingWeak","Make a commitment to myself to do this no matter what comes in my way!",2,1,2,0,1,1,0,0,0,0,0
"376","FeelingWeak","Make a commitment to myself to really do this!",1,2,3,2,1,2,0,0,1,0,0
"377","FeelingWeak","Make my goal public",1,1,1,1,1,1,0,0,0,0,0
"378","FeelingWeak","Make sure to eat well before and after, and time your meals appropriately",3,3,2,2,2,2,0,0,0,0,0
"379","FeelingWeak","Make sure to get enough sleep before the activity",3,1,1,0,0,0,0,0,0,0,0
"380","FeelingWeak","Make sure to warm up sufficiently before the activity",4,3,2,2,2,1,0,0,0,0,0
"381","FeelingWeak","Plan when I have to leave to have enough time",1,1,3,1,0,0,1,0,0,0,0
"382","FeelingWeak","Provide a positive consequence or reward for doing the activity",1,2,0,0,0,1,0,0,0,0,0
"383","FeelingWeak","Put a visible reminder, like a postit, somewhere where I will see it",1,2,1,1,2,1,0,0,0,0,0
"384","FeelingWeak","Put on music or a podcast",0,3,0,0,0,0,1,0,1,0,0
"385","FeelingWeak","Put the material I will need within my sight as a visible reminder",0,1,0,2,0,8,0,0,0,0,1
"386","FeelingWeak","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,2,1,1,1,1,0,0,0,0,0
"387","FeelingWeak","Remind myself of the positive effects doing this will have on my mental health",2,2,2,1,2,0,0,0,0,1,0
"388","FeelingWeak","Remind myself of the positive effects doing this will have on my physical health",1,4,2,3,2,2,0,0,0,0,0
"389","FeelingWeak","Remind myself of the positive effects this will have on me",1,2,1,1,2,1,0,0,0,0,0
"390","FeelingWeak","Remind myself of the positive social effects doing this will have",1,2,2,4,1,0,0,0,0,1,0
"391","FeelingWeak","Set my material or equipment ready to use",0,0,0,0,0,5,0,0,0,0,0
"392","FeelingWeak","Set suitable clothing ready to use",1,2,3,2,1,3,0,1,0,0,0
"393","FeelingWeak","Shorten the duration of the activity",2,5,1,1,1,1,0,0,0,0,0
"394","FeelingWeak","Take breaks whenever needed",0,2,2,0,0,1,0,0,0,0,0
"395","FeelingWeak","Take medication to help with the symptoms",2,2,2,1,2,0,0,0,0,1,0
"396","FeelingWeak","Take pictures during the activity",0,2,0,0,0,0,0,0,0,0,0
"397","FeelingWeak","Tell myself that you can do this, and think about why",2,1,1,1,1,0,0,0,0,1,0
"398","FeelingWeak","Think about how I will feel tonight if I haven't managed to do this",1,2,1,1,2,1,0,0,0,0,0
"399","FeelingWeak","Think about situations where I achieved similar goals",2,3,0,0,0,0,0,0,0,0,0
"400","FeelingWeak","Use positive selftalk",2,4,2,1,1,2,0,0,0,0,0
"401","FeelingWeak","Watch something during the activity",0,3,0,1,2,0,0,0,1,0,0
"402","Focus","Ask other people if they want to join",0,2,0,2,0,0,0,0,0,0,0
"403","Focus","Ask someone to remind you of your activity",1,4,1,5,0,1,0,0,0,0,0
"404","Focus","Call someone while doing the activity",0,3,0,0,2,0,0,0,0,0,0
"405","Focus","Change what I am going to do",1,3,2,2,1,1,0,0,0,0,0
"406","Focus","Combine being active with something else I want to do",1,4,0,1,2,0,0,0,0,0,0
"407","Focus","Confirm that the gym / court / ... will be available",0,2,1,1,0,0,0,0,0,0,0
"408","Focus","Divide the activity into shorter parts",5,6,1,2,2,1,0,0,0,0,0
"409","Focus","Do it at a different time today",1,3,0,1,1,0,0,0,0,0,0
"410","Focus","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",1,4,0,3,0,0,0,0,0,0,0
"411","Focus","Keep my goal in mind",2,3,2,2,2,2,0,0,0,0,0
"412","Focus","Keep track of my activity",5,6,3,3,4,4,0,0,0,0,0
"413","Focus","Keep track of my activity using a device, such as a fitness tracker",2,1,1,0,2,1,0,0,0,0,0
"414","Focus","Look up inspirational content, such as videos or posts, online",1,2,1,1,1,1,0,0,1,0,0
"415","Focus","Make a commitment to myself to do this no matter what comes in my way!",1,3,1,2,1,1,0,1,0,0,0
"416","Focus","Make a commitment to myself to really do this!",2,6,2,3,3,3,0,0,0,0,0
"417","Focus","Make my goal public",0,5,4,4,2,1,0,0,0,0,0
"418","Focus","Make sure to get enough sleep before the activity",2,4,3,3,3,3,0,0,0,0,1
"419","Focus","Provide a positive consequence or reward for doing the activity",1,2,2,1,1,1,0,0,0,0,0
"420","Focus","Put a visible reminder, like a postit, somewhere where I will see it",0,4,1,1,0,1,0,0,0,0,0
"421","Focus","Put on music or a podcast",3,6,1,1,3,3,0,0,0,0,0
"422","Focus","Put the material I will need within my sight as a visible reminder",0,0,0,1,0,4,0,0,0,0,0
"423","Focus","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,1,0,1,0,3,0,0,0,0,0
"424","Focus","Shorten the duration of the activity",5,5,2,2,2,1,0,0,0,0,0
"425","Focus","Take medication to help with the symptoms",3,2,2,2,0,3,0,0,0,0,0
"426","Focus","Take pictures during the activity",0,1,3,0,3,1,0,0,0,0,0
"427","Focus","Tell myself that you can do this, and think about why",1,3,1,2,2,1,0,0,0,0,0
"428","Focus","Think about how I will feel tonight if I haven't managed to do this",3,3,1,2,2,1,0,0,0,0,0
"429","Focus","Think about situations where I achieved similar goals",2,2,2,1,2,1,0,0,0,0,0
"430","Focus","Use positive selftalk",4,6,1,2,3,2,0,0,0,0,0
"431","Focus","Watch something during the activity",1,6,1,1,1,2,0,0,0,0,0
"432","ForgetMaterial","Adjust the intensity of the activity according to your needs",2,1,2,1,1,18,0,0,0,0,0
"433","ForgetMaterial","Ask other people if they want to join",2,1,2,4,2,17,1,0,0,0,0
"434","ForgetMaterial","Ask someone to remind you of your activity",0,1,0,2,0,23,0,0,0,0,0
"435","ForgetMaterial","Change what I am going to do",1,2,1,1,1,18,0,1,0,0,0
"436","ForgetMaterial","Confirm with the other(s) that they will join",1,1,2,4,1,18,0,0,0,0,0
"437","ForgetMaterial","Consume caffeine (e.g. coffee, energy drinks, caffeine pills) to help with this",1,1,1,1,1,19,0,0,0,0,0
"438","ForgetMaterial","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",1,1,2,2,1,22,0,0,0,0,0
"439","ForgetMaterial","Find someone to help me with those practical barriers",0,1,0,3,0,23,0,0,0,0,0
"440","ForgetMaterial","Keep my goal in mind",1,1,1,1,1,17,0,0,0,0,0
"441","ForgetMaterial","Make a commitment to myself to do this no matter what comes in my way!",1,2,1,2,1,23,0,0,0,0,0
"442","ForgetMaterial","Make a commitment to myself to really do this!",0,1,0,0,0,23,0,0,0,0,0
"443","ForgetMaterial","Make my goal public",0,1,0,1,0,23,0,0,0,0,0
"444","ForgetMaterial","Make sure to be visible",1,1,0,0,1,23,0,0,0,0,0
"445","ForgetMaterial","Plan when I have to leave to have enough time",0,1,1,2,0,23,0,0,0,0,0
"446","ForgetMaterial","Put a visible reminder, like a postit, somewhere where I will see it",1,2,1,1,1,23,0,0,0,0,0
"447","ForgetMaterial","Put the material I will need within my sight as a visible reminder",2,2,2,2,2,19,0,0,0,0,0
"448","ForgetMaterial","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",0,1,0,1,0,23,0,0,0,0,0
"449","ForgetMaterial","Set an alarm",2,2,1,2,2,18,1,0,0,0,1
"450","ForgetMaterial","Set my material or equipment ready to use",2,2,2,2,2,18,0,0,0,0,0
"451","ForgetMaterial","Start my day early enough to have time for the activity",1,1,1,1,1,17,0,0,0,0,0
"452","Gender",NA,0,0,0,0,0,0,0,0,0,0,0
"453","GoalConflict_Time","Ask other people if they want to join",2,2,3,4,2,2,0,0,0,0,0
"454","GoalConflict_Time","Ask someone to remind you of your activity",0,3,1,4,0,0,0,0,0,0,0
"455","GoalConflict_Time","Change what I am going to do",3,13,5,3,4,2,0,0,0,0,1
"456","GoalConflict_Time","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",2,1,1,1,2,0,0,0,0,0,0
"457","GoalConflict_Time","Divide the activity into shorter parts",4,7,2,2,2,2,0,1,0,0,0
"458","GoalConflict_Time","Do it at a different time today",1,2,3,3,2,1,2,0,0,0,0
"459","GoalConflict_Time","Find social support in a pet",0,4,4,1,1,0,0,0,0,1,0
"460","GoalConflict_Time","Find someone to help me with those practical barriers",2,3,1,4,0,1,2,0,0,0,0
"461","GoalConflict_Time","Find someone to provide you with instructions for the behaviour online, for example in a video or text",0,3,0,1,0,2,0,0,0,0,0
"462","GoalConflict_Time","Find someone to provide you with the needed information, either online or offline",1,1,2,1,0,3,0,0,0,0,0
"463","GoalConflict_Time","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",1,3,2,3,1,2,0,0,0,0,0
"464","GoalConflict_Time","Keep track of my activity using a device, such as a fitness tracker",0,2,1,0,0,2,0,0,0,0,0
"465","GoalConflict_Time","Learn about health benefits of doing the behaviour",3,2,1,1,3,0,0,0,0,0,0
"466","GoalConflict_Time","Look up inspirational content, such as videos or posts, online",0,3,0,0,0,3,0,0,0,0,0
"467","GoalConflict_Time","Plan when I have to leave to have enough time",1,2,2,3,1,0,0,0,0,0,0
"468","GoalConflict_Time","Put a visible reminder, like a postit, somewhere where I will see it",1,2,3,5,1,0,0,0,0,0,0
"469","GoalConflict_Time","Put the material I will need within my sight as a visible reminder",1,1,1,1,1,7,0,0,0,0,0
"470","GoalConflict_Time","Remind myself of the positive effects doing this will have on my mental health",1,3,0,0,1,0,0,0,0,0,1
"471","GoalConflict_Time","Remind myself of the positive effects doing this will have on my physical health",2,2,2,2,2,0,0,0,0,0,0
"472","GoalConflict_Time","Remind myself of the positive effects this will have on me",3,2,1,1,3,0,0,0,0,0,0
"473","GoalConflict_Time","Remind myself of the positive social effects doing this will have",1,1,1,5,1,0,0,0,0,0,0
"474","GoalConflict_Time","Set my material or equipment ready to use",2,1,0,1,2,9,1,0,0,0,0
"475","GoalConflict_Time","Set suitable clothing ready to use",2,1,4,2,2,1,0,0,0,0,1
"476","GoalConflict_Time","Shorten the duration of the activity",4,9,2,1,5,0,0,0,0,0,0
"477","GoalConflict_Time","Start my day early enough to have time for the activity",3,3,1,2,2,0,0,0,0,0,0
"478","GoalConflict_Time","Take away distractions",3,2,1,0,1,1,0,0,0,0,0
"479","GoalConflict_Time","Tell myself that you can do this, and think about why",2,7,1,2,2,0,0,0,0,0,0
"480","GoalConflict_Time","Think about how I will feel tonight if I haven't managed to do this",1,2,1,4,1,0,0,0,0,0,0
"481","GoalConflict_Time","Think about situations where I achieved similar goals",3,5,0,2,2,1,0,0,0,0,0
"482","GoalConflict_Time","Use positive selftalk",1,6,1,1,0,0,0,0,2,0,0
"483","Goalconflict_Energy","Adjust the intensity of the activity according to your needs",6,3,2,1,3,0,0,0,0,0,0
"484","Goalconflict_Energy","Ask other people if they want to join",0,7,3,8,0,0,0,1,0,0,0
"485","Goalconflict_Energy","Ask someone to remind you of your activity",0,1,1,4,1,0,0,0,0,0,0
"486","Goalconflict_Energy","Call someone while doing the activity",0,4,1,2,3,1,0,1,0,0,1
"487","Goalconflict_Energy","Change the intensity of the activity",8,4,0,2,4,2,0,0,0,0,1
"488","Goalconflict_Energy","Change what I am going to do",5,9,1,2,0,0,0,0,0,0,0
"489","Goalconflict_Energy","Combine being active with something else I want to do",3,3,2,2,4,0,0,0,0,0,0
"490","Goalconflict_Energy","Consume caffeine (e.g. coffee, energy drinks, caffeine pills) to help with this",4,1,2,2,2,1,0,0,0,0,0
"491","Goalconflict_Energy","Divide the activity into shorter parts",6,4,2,2,2,0,0,0,0,0,0
"492","Goalconflict_Energy","Do it at a different time today",2,5,4,2,1,1,2,0,0,0,0
"493","Goalconflict_Energy","Find social support in a pet",0,4,0,2,1,0,0,0,0,0,1
"494","Goalconflict_Energy","Find someone to help me with those practical barriers",0,5,1,2,2,1,0,0,0,0,0
"495","Goalconflict_Energy","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",3,8,1,4,1,1,0,0,0,0,0
"496","Goalconflict_Energy","Keep my goal in mind",3,2,2,2,4,0,0,0,0,0,0
"497","Goalconflict_Energy","Learn about health benefits of doing the behaviour",1,2,0,1,1,0,0,0,0,0,0
"498","Goalconflict_Energy","Learn about the consequences this will have on my health",3,2,0,0,1,0,0,0,0,0,0
"499","Goalconflict_Energy","Learn about the consequences this will have on my mental health",2,2,1,0,1,0,0,0,0,0,0
"500","Goalconflict_Energy","Learn about the risks of not doing the behaviour",0,1,1,2,0,1,0,0,0,2,1
"501","Goalconflict_Energy","Make a commitment to myself to do this no matter what comes in my way!",3,6,4,4,4,1,0,0,0,1,0
"502","Goalconflict_Energy","Make a commitment to myself to really do this!",7,6,3,3,4,1,0,0,0,0,0
"503","Goalconflict_Energy","Make my goal public",0,2,1,4,1,0,0,0,0,0,0
"504","Goalconflict_Energy","Make sure to eat well before and after, and time your meals appropriately",6,1,3,3,3,1,0,0,0,0,0
"505","Goalconflict_Energy","Make sure to get enough sleep before the activity",5,1,2,2,2,0,0,0,0,0,0
"506","Goalconflict_Energy","Make sure to warm up sufficiently before the activity",7,6,4,5,3,2,0,0,0,0,0
"507","Goalconflict_Energy","Plan how to get there",2,6,7,5,1,1,0,0,0,0,0
"508","Goalconflict_Energy","Provide a positive consequence or reward for doing the activity",2,4,0,1,2,0,0,0,0,0,0
"509","Goalconflict_Energy","Put on music or a podcast",1,7,2,0,1,0,0,0,0,0,0
"510","Goalconflict_Energy","Put the material I will need within my sight as a visible reminder",1,2,2,1,1,9,0,0,0,0,0
"511","Goalconflict_Energy","Reduce the mental load by making most decisions (e.g. what to do exactly, what to wear, when to do it) ahead of time, or outsourcing some decisions",1,3,1,1,1,1,0,0,0,0,0
"512","Goalconflict_Energy","Remind myself of the positive effects doing this will have on my mental health",7,8,4,6,5,3,0,0,0,0,0
"513","Goalconflict_Energy","Remind myself of the positive effects doing this will have on my physical health",7,8,5,5,4,3,0,0,0,0,0
"514","Goalconflict_Energy","Remind myself of the positive effects this will have on me",2,3,1,1,2,0,0,0,0,0,0
"515","Goalconflict_Energy","Remind myself of the positive social effects doing this will have",3,3,2,6,4,1,0,0,0,0,0
"516","Goalconflict_Energy","Shorten the duration of the activity",8,7,8,6,3,2,0,0,0,0,0
"517","Goalconflict_Energy","Take away distractions",2,4,1,0,1,0,0,0,0,0,0
"518","Goalconflict_Energy","Take breaks whenever needed",5,4,3,3,3,0,0,0,0,0,0
"519","Goalconflict_Energy","Take pictures during the activity",0,0,1,1,1,0,0,1,0,0,0
"520","Goalconflict_Energy","Think about how I will feel tonight if I haven't managed to do this",6,7,4,6,5,1,0,0,0,0,0
"521","Goalconflict_Energy","Use positive selftalk",6,9,4,5,4,1,0,0,0,0,0
"522","Goalconflict_Energy","Watch something during the activity",0,4,0,0,2,1,0,0,1,0,0
"523","Goalconflict_relocat#","Change what I am going to do",2,5,2,1,1,1,0,0,0,0,0
"524","Goalconflict_relocat#","Divide the activity into shorter parts",2,6,1,2,2,1,0,0,0,0,0
"525","Goalconflict_relocat#","Do it at a different time today",0,6,1,2,1,0,0,0,0,0,0
"526","Goalconflict_relocat#","Do it somewhere else",3,3,3,0,4,0,1,0,0,0,0
"527","Goalconflict_relocat#","Find someone to help me with those practical barriers",0,5,1,7,0,1,1,0,0,0,0
"528","Goalconflict_relocat#","Make a commitment to myself to really do this!",0,3,0,1,0,0,0,0,0,0,0
"529","Goalconflict_relocat#","Plan how to get there",1,3,5,3,1,0,0,0,0,0,0
"530","Goalconflict_relocat#","Shorten the duration of the activity",2,4,1,1,2,0,0,0,0,0,1
"531","Goalconflict_relocat#","Take medication to help with the symptoms",1,2,0,1,1,0,0,0,0,0,0
"532","Goalconflict_relocat#","Tell myself that you can do this, and think about why",0,3,0,1,0,1,0,0,0,0,0
"533","Headache ","Adjust the intensity of the activity according to your needs",6,1,1,0,3,2,0,0,0,0,0
"534","Headache ","Call someone while doing the activity",0,4,0,0,0,0,0,0,0,0,0
"535","Headache ","Change the intensity of the activity",1,2,0,0,0,0,0,0,0,0,0
"536","Headache ","Change what I am going to do",6,7,1,3,1,2,0,0,0,1,0
"537","Headache ","Check the weather in advance",1,0,7,0,0,1,1,0,0,0,0
"538","Headache ","Combine being active with something else I want to do",0,2,3,1,0,0,0,0,0,0,0
"539","Headache ","Confirm with the other(s) that they will join",0,0,2,15,0,0,0,0,0,1,0
"540","Headache ","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",4,3,1,3,2,0,0,0,2,1,0
"541","Headache ","Divide the activity into shorter parts",2,2,0,0,1,1,0,0,0,0,0
"542","Headache ","Do it at a different time today",5,9,1,2,1,1,0,0,0,0,0
"543","Headache ","Find social support in a pet",0,0,2,0,1,0,0,0,0,1,0
"544","Headache ","Find someone who supports me in this, either online or offline, e.g. by encouraging me.",1,3,0,0,0,1,0,0,0,0,0
"545","Headache ","Keep my goal in mind",4,6,2,2,3,2,0,0,0,0,0
"546","Headache ","Learn about health benefits of doing the behaviour",3,6,1,3,3,1,0,0,0,0,0
"547","Headache ","Learn about the consequences this will have on my health",1,1,0,0,0,0,0,0,0,0,0
"548","Headache ","Learn about the risks of not doing the behaviour",2,2,0,1,2,0,0,0,0,0,0
"549","Headache ","Look up inspirational content, such as videos or posts, online",0,1,0,0,0,0,0,0,0,0,0
"550","Headache ","Make a commitment to myself to do this no matter what comes in my way!",4,5,1,3,3,1,0,0,0,2,0
"551","Headache ","Make a commitment to myself to really do this!",2,5,1,1,2,0,0,0,0,0,0
"552","Headache ","Make my goal public",1,3,2,1,1,0,0,0,0,1,0
"553","Headache ","Make sure to eat well before and after, and time your meals appropriately",4,2,0,0,2,1,0,0,0,0,0
"554","Headache ","Make sure to get enough sleep before the activity",4,4,0,2,1,1,0,0,0,0,0
"555","Headache ","Make sure to warm up sufficiently before the activity",2,2,1,1,1,0,0,0,0,0,0
"556","Headache ","Plan how to get there",0,2,1,1,0,1,0,0,0,0,0
"557","Headache ","Provide a positive consequence or reward for doing the activity",2,5,0,2,1,1,0,0,0,0,0
"558","Headache ","Put on music or a podcast",2,4,2,0,2,2,0,0,0,0,0
"559","Headache ","Put the material I will need within my sight as a visible reminder",1,0,0,0,0,1,0,0,0,0,0
"560","Headache ","Remind myself of the positive effects doing this will have on my physical health",1,0,0,0,2,0,0,0,0,1,0
"561","Headache ","Remind myself of the positive effects this will have on me",2,4,1,1,2,2,0,0,0,0,0
"562","Headache ","Set my material or equipment ready to use",1,0,0,0,0,4,0,0,0,0,0
"563","Headache ","Set suitable clothing ready to use",1,1,3,1,0,2,0,0,0,0,0
"564","Headache ","Shorten the duration of the activity",2,5,1,2,0,1,0,0,0,0,1
"565","Headache ","Take breaks whenever needed",0,3,0,1,0,1,0,0,0,0,0
"566","Headache ","Take medication to help with the symptoms",3,5,3,4,2,2,0,0,1,0,0
"567","Headache ","Take pictures during the activity",0,1,2,0,0,0,0,0,0,0,0
"568","Headache ","Tell myself that you can do this, and think about why",1,1,1,0,0,0,0,0,0,0,0
"569","Headache ","Think about how I will feel tonight if I haven't managed to do this",1,0,0,1,2,1,0,0,0,1,0
"570","Headache ","Think about situations where I achieved similar goals",1,3,0,2,0,1,0,0,1,0,0
"571","Headache ","Use positive selftalk",1,2,0,1,0,0,0,0,0,0,0
"572","Headache ","Watch something during the activity",0,2,0,0,0,1,0,0,0,0,0
"573","Hungry","Adjust the intensity of the activity according to your needs",3,0,1,0,2,0,0,0,0,0,0
"574","Hungry","Ask other people if they want to join",0,2,0,2,0,0,0,0,0,0,1
"575","Hungry","Change the intensity of the activity",11,1,1,2,4,1,0,0,0,0,0
"576","Hungry","Change what I am going to do",4,1,1,2,2,0,0,0,0,0,0
"577","Hungry","Divide the activity into shorter parts",4,5,1,3,1,0,0,0,0,0,0
